x	y	velocity[m]
3.2853398652761197	0.8933517913818889	8.2332441707337	-1.3398641173307068e-20
3.2322240519586103	0.7538180664483658	8.41458403808049	0.00032562335258294866
3.178972586527994	0.6143360555579385	8.592015910663756	0.0006513200704715862
3.12544997682172	0.47495786493193215	8.765783675182748	0.0009766459751431235
3.071521042449138	0.3357363884214024	8.93610676815418	0.0013030121004060497
3.01705116785814	0.19672566210478948	9.103183485051296	0.0016252404926201908
2.9619061700739238	0.05798137284638827	9.267193730491654	0.001959826370710764
2.90595490997263	-0.0804397389532081	9.428301329134548	0.0021995452090695588
2.849104247622458	-0.21849389842231304	9.586655979816234	0.0022929677856745627
2.791308174871771	-0.3561549362299399	9.742394886034608	0.002412715248353312
2.7325222575144323	-0.49339619813558144	9.895644200733132	0.0025259882030322627
2.6727023675770756	-0.6301899366000363	10.046520206858649	0.002644825927166
2.611805226249354	-0.7665075387364215	10.195130411216072	0.0027556120478394075
2.5497841853145093	-0.9023174363846245	10.34157434444239	0.0028442906908677157
2.486639656610988	-1.0376086734776262	10.485944569592073	0.002298312097869446
2.4225781547880434	-1.1724681326430364	10.628327107150097	0.0015437079264517641
2.357893396389576	-1.3070297591442515	10.652909625827347	0.000837951480296105
2.29287276085749	-1.4414294166923156	10.438362256946643	0.0001200871344252664
2.2278035654277897	-1.575805566702984	10.219213983349734	-0.0005924194803746692
2.162972642112626	-1.710296850631333	9.995153050937185	-0.0012993542779234754
2.098660408927346	-1.845036867591129	9.765830791781076	-0.001639385322059308
2.0349745138295283	-1.980074139734235	9.53085464341726	-0.0010888408959175604
1.9717297111876775	-2.115318520858642	9.289780818835514	-0.0005819507594015586
1.9087197045651347	-2.25067246641545	9.042103587307992	-6.287482647765238e-05
1.8457348384493795	-2.3860381035706677	8.787242865241916	0.00045242709710241225
1.78256784004129	-2.521318866922397	8.524527622955269	0.0010032952435199693
1.7189929734663512	-2.6564083850045055	8.253174749484879	0.0014092293957551356
1.654873083327482	-2.7912400686081353	7.972260345044643	0.0007226271630090056
1.5904869852896582	-2.9259449029069344	7.68068157175438	-0.0007562017551800583
1.5264009672232284	-3.0607926998848543	7.377104057825895	-0.0020761823411173173
1.4631520573747796	-3.1960352512143206	7.059885866240774	-0.0033865720420987798
1.4012717278659697	-3.3319090708372103	6.726969367187639	-0.004515345145807825
1.341228173120097	-3.468605664689685	6.375708810667228	-0.005787265159415519
1.283526239042768	-3.606304300117765	6.002622398354081	-0.004178325603280072
1.2274330341871629	-3.7446695702659865	5.602911364797944	0.0026890915679960636
1.170205979606008	-3.882568552567733	5.169709269120428	0.010595046530248607
1.1086382017934024	-4.01858631989698	4.6924424852972555	0.0191349264117805
1.039365925717437	-4.150846084224915	4.153211490773238	0.02937158818235776
0.9587279873102847	-4.276496369528147	3.516325287793413	0.04171520545424629
0.8630624521114445	-4.39111530935042	3.0878316915431365	0.05409601007485879
0.7503457774637639	-4.488940313392471	3.0870806285416785	0.0541223355642173
0.6234120123965976	-4.567554850789662	3.4713575947547692	0.042802956411563856
0.4874815608305685	-4.629297272416534	3.901436385440891	0.03297544499626342
0.34611672272683514	-4.677337173655206	4.284127626063732	0.024840660648405982
0.2015720062843016	-4.714733067758252	4.632632208384807	0.01845368197748999
0.05518539308811832	-4.744095344055919	4.954916207524758	0.012905819607419442
-0.09222989315429864	-4.767764564644963	5.256239926317485	0.009355648281833046
-0.24025783861487504	-4.787232113049774	5.540288170566717	0.009946659670428267
-0.38880285359018707	-4.802238364902863	5.809770666690702	0.012709508687083542
-0.5378105167083511	-4.811606320108999	5.792833172287108	0.01518404543114082
-0.6870890866589949	-4.814204711626068	5.376277732162759	0.017844693100760117
-0.8362931613009312	-4.808848934925004	5.030551014281832	0.020381744812762316
-0.9848966743219041	-4.794427713581245	4.753146080141256	0.02283022286813528
-1.1321740523032204	-4.7699591547315725	4.763198772322901	0.022733958559438407
-1.2774701183745591	-4.735608738283469	5.076646464218033	0.019582324978885856
-1.4205098818108919	-4.692825228541827	5.370740307533105	0.01628655483122765
-1.561298998409816	-4.6431328688654245	5.64873064869335	0.013248200227046817
-1.7000110351615252	-4.587906524255627	5.913040711437328	0.010415372735972305
-1.8369378296835075	-4.528391730927473	6.165536125438737	0.0076937551519100115
-1.9724577760234432	-4.465739412640022	6.407691228547346	0.005330589729410434
-2.1069476174110484	-4.400904731222266	6.640695412587806	0.004643558042710638
-2.24051991560951	-4.334201388132712	6.865523305545294	0.00487927359736576
-2.3731067005555335	-4.2655595242872835	7.082988997170936	0.005034395806688328
-2.504646447630181	-4.19493212870095	7.293777814177764	0.005215426014761028
-2.6350704181922318	-4.122264919068533	7.498474880089472	0.00538860009486281
-2.764307956454706	-4.047508015773445	7.69758402646476	0.005584523840354446
-2.8922826604377594	-3.970609401324026	7.8915428652902175	0.005675418848343401
-3.018938473772649	-3.891557366237194	7.866942841419551	0.00556173526930872
-3.1442647440822578	-3.8104139484944026	7.571145870309518	0.005356721411740425
-3.268277937951389	-3.727277547355513	7.262790237989488	0.005103754053404642
-3.391010842058078	-3.64226247251415	6.940097050642052	0.004787824453889478
-3.512515038665607	-3.5555001084296434	6.6008171646758536	0.004495105972094309
-3.632849442546017	-3.467123159322898	6.2420371330909	0.003961989725263299
-3.7520398617304807	-3.377207801921818	5.859854974110027	0.00719712151155
-3.869254412328284	-3.2847315793301615	5.448844775328792	0.012373335559971575
-3.982962338485004	-3.1879756859876123	5.001029932446993	0.018205875738056973
-4.091224043834778	-3.0851612584879806	4.50376962185223	0.025143607929782374
